Created file at epoch: 1136
(Timestamp: 23605) Temperature Readings: [20.32, 19.03, 30.97, 20.00, 21.94, 28.71, 19.68, 28.39], Solar Cell 1: [Voltage: 0.74V, Current: 95.01mA], Solar Cell 2: [Voltage: 3.30V, Current: 6.53mA]
(Timestamp: 24115) Temperature Readings: [20.32, 19.03, 30.97, 20.00, 21.94, 28.71, 19.68, 28.06], Solar Cell 1: [Voltage: 0.73V, Current: 94.36mA], Solar Cell 2: [Voltage: 3.35V, Current: 6.53mA]
(Timestamp: 24625) Temperature Readings: [20.65, 19.03, 30.97, 20.00, 21.94, 28.71, 19.68, 28.39], Solar Cell 1: [Voltage: 0.73V, Current: 94.36mA], Solar Cell 2: [Voltage: 3.35V, Current: 6.53mA]
(Timestamp: 25135) Temperature Readings: [20.32, 19.03, 30.97, 20.00, 21.94, 28.71, 19.68, 28.39], Solar Cell 1: [Voltage: 0.72V, Current: 93.71mA], Solar Cell 2: [Voltage: 3.35V, Current: 6.53mA]
(Timestamp: 25648) Temperature Readings: [20.32, 19.03, 30.97, 20.00, 21.94, 28.06, 20.00, 28.06], Solar Cell 1: [Voltage: 0.72V, Current: 93.05mA], Solar Cell 2: [Voltage: 3.37V, Current: 6.86mA]
(Timestamp: 26155) Temperature Readings: [20.65, 19.03, 30.97, 20.00, 22.26, 28.06, 20.00, 28.06], Solar Cell 1: [Voltage: 0.72V, Current: 93.71mA], Solar Cell 2: [Voltage: 3.31V, Current: 6.86mA]
(Timestamp: 26661) Temperature Readings: [20.32, 19.03, 30.97, 20.00, 21.94, 28.06, 19.35, 28.06], Solar Cell 1: [Voltage: 0.72V, Current: 93.38mA], Solar Cell 2: [Voltage: 3.39V, Current: 6.86mA]
(Timestamp: 27168) Temperature Readings: [20.32, 19.03, 30.97, 20.00, 21.94, 28.06, 20.00, 28.39], Solar Cell 1: [Voltage: 0.72V, Current: 93.38mA], Solar Cell 2: [Voltage: 3.43V, Current: 6.86mA]
(Timestamp: 27674) Temperature Readings: [20.65, 19.03, 30.97, 20.00, 21.94, 28.06, 19.68, 28.06], Solar Cell 1: [Voltage: 0.71V, Current: 93.05mA], Solar Cell 2: [Voltage: 3.45V, Current: 6.86mA]
(Timestamp: 28183) Temperature Readings: [20.97, 19.03, 30.97, 20.00, 21.94, 28.39, 20.00, 28.06], Solar Cell 1: [Voltage: 0.70V, Current: 93.05mA], Solar Cell 2: [Voltage: 3.45V, Current: 6.86mA]
